valid|entry|cnt_words|pronounce|syllabary|english|mco
|ᎠᏂᏙᎾᎠ|4|Tali iyuhliloda igohid anidonavi.|ᏔᎵ ᎢᏳᏟᎶᏓ ᎢᎪᎯᏓ ᎠᏂᏙᎾᎥᎢ.|They were standing for two hours.|
|ᎠᎩᏟᏲᎦ|4|Tali jusvhida igohid ugihliyojvi.|ᏔᎵ ᏧᏒᎯᏓ ᎢᎪᎯᏓ ᎤᎩᏟᏲᏨᎢ.|He was in pain for two days.|
|ᎤᏏᏩᏍᎦ|4|Tsgwisdi goksgv iyusdi usihwasga.|ᏥᏈᏍᏗ ᎪᎦᏍᎬ ᎢᏳᏍᏗ ᎤᏏᏩᏍᎦ.|He's coughing because he smokes too much.|
|ᏓᏓᏬᎠ|4|Uhyvdli iga dudawov ahljadohvsgi.|ᎤᏴᏟ ᎢᎦ ᏚᏓᏬᎥ ᎠᎵᏣᏙᎲᏍᎩ.|The preacher performed baptism on a cold day.|
|ᏓᏑᏫᏍᎦ|4|Usv yinulstana gihli dasuhwisgoi.|ᎤᏒ ᏱᏄᎵᏍᏔᎾ, ᎩᏟ ᏓᏑᏫᏍᎪᎢ.|When it becomes light, the dog barks.|
|ᎤᏲᎾ|4|Utana uhyona nuwanhdi dagwalelui.|ᎤᏔᎾ ᎤᏲᎾ ᏄᏩᏅᏗ ᏓᏆᎴᎷᎢ.|He has a big horn on his car.|
|ᎫᏢᏍᎦ|4|Uwoyeni gvhdi uwuhlvnv uhnelvsvi.|ᎤᏬᏰᏂ ᎬᏗ ᎤᏭᏢᏅ ᎤᏁᎸᏒᎢ.|He covered his scar with his hand.|
|ᏩᏓᏚᎦ|4|Vdali nav aninohilidoho wadaduga.|ᎥᏓᎵ ᎾᎥ ᎠᏂᏃᎯᎵᏙᎰ ᏩᏓᏚᎦ.|Dragonflies fly around close to a pond|
|ᎠᏜ|4|Adla agohvsgv duksvsdv jigowhtiha.|ᎠᏜ ᎠᎪᎲᏍᎬ ᏚᎦᏒᏍᏛ ᏥᎪᏩᏘᎭ.|I see smoke from burning rubber.|
|ᎠᏥᎳ ᎨᏠᎯ|4|Ajila Gehlohi uwonisv danadlosgvi.|ᎠᏥᎳ ᎨᏠᎯ ᎤᏬᏂᏒ ᏓᎾᏠᏍᎬᎢ.|A Catholic spoke at the meeting.|
|ᏍᏇᏅᎢ|4|Disgwehnv gvhdi unahlilv anichuja.|ᏗᏍᏇᏅ ᎬᏗ ᎤᎾᏟᎸ ᎠᏂᏧᏣ.|The boys fought with their fists.|
|ᎦᏥᏃᏍᏓ|4|Gachinosda yuwiganvhne osi yigese.|ᎦᏥᏃᏍᏓ ᏳᏪᎦᏅᏁ ᎣᏏ ᏱᎨᏎ.|If there was a straight road, it would have been all right.|
|ᎦᎦᏪᏍᏗ|4|Gagawesdi akwtolvelv svhi jigesvi.|ᎦᎦᏪᏍᏗ ᎠᏆᏙᎸᎡᎸ ᏒᎯ ᏥᎨᏒᎢ.|He borrowed my paddle yesterday.|
|ᎦᎷᏯᏍᏗ|4|Galuysdi uwhtanv uleyvstanv hlgvi.|ᎦᎷᏯᏍᏗ ᎤᏮᏔᏅ ᎤᎴᏴᏍᏔᏅ ᏡᎬᎢ.|He used an axe to fell the tree.|
|ᎢᏤᎢᏳᏍᏗ|4|Ijeiyusdi adanelv ganela oginalii.|ᎢᏤᎢᏳᏍᏗ ᎠᏓᏁᎸ ᎦᏁᎳ ᎣᎩᎾᎵᎢ.|A friend of mine lives in a green house.|
|ᎪᎳ|4|Kola junisdigisdi unilvkwdi gihli.|ᎪᎳ ᏧᏂᏍᏗᎩᏍᏗ ᎤᏂᎸᏉᏗ ᎩᏟ.|Dogs like to eat bones.|
|ᏂᎦᏓ|4|Nigada yvwi gvwhtvganv gawonisgvi.|ᏂᎦᏓ ᏴᏫ ᎬᏩᏛᎦᏅ ᎦᏬᏂᏍᎬᎢ.|All the people heard him speak.|
|ᏄᎳ|4|Nula. Gohusd gvnohisehdi agwaduli.|ᏄᎳ. ᎪᎱᏍᏗ ᎬᏃᎯᏎᏗ ᎠᏆᏚᎵ.|Come here. I want to tell you something.|
|ᏒᎾᏙᏓᏆᏍᏗ|4|Svnadodagwasdi hla gohida yigesoi.|ᏒᎾᏙᏓᏆᏍᏗ Ꮭ ᎪᎯᏓ ᏱᎨᏐᎢ.|One week is not long.|
|ᎤᎿᏬ|4|Uhnawo ayosda asiladv ganuyvhihvi.|ᎤᎿᏬ ᎠᏲᏍᏓ ᎠᏏᎳᏛ ᎦᏄᏴᎯᎲᎢ.|He tore his shirt going under a fence.|
|ᎤᏴᏍᏕᏓ|4|Uhyvsdeda asgaya jaisv jigowhtiha.|ᎤᏴᏍᏕᏓ ᎠᏍᎦᏯ ᏣᎢᏒ ᏥᎪᏩᏘᎭ.|I see a drunk man waling this way.|
|ᎤᏦᎾᏘ|4|Unajonati aninela age jijusdagala.|ᎤᎾᏦᎾᏘ ᎠᏂᏁᎳ ᎠᎨ ᏥᏧᏍᏓᎦᎳ.|Rattlesnakes live in that cave over there.|
|ᏚᎦᏘᏅᏔ|4|Agalisgv yedo julsihgi duktinvtoi.|ᎠᎦᎵᏍᎬ ᏰᏙ ᏧᎵᏏᎩ ᎤᎦᏘᏅᏙᎢ.|When he's out in the sun, he wears dark glasses.|
|ᏓᎳᏑᎴᎠ|4|Aktisi didla jalasuhlv halasulagi.|ᎠᎦᏘᏏ ᏗᏜ ᏣᎳᏑᏢ ᎭᎳᏑᎳᎩ.|Take your right shoe off.|
|ᎠᎳᏍᎬᎠ|4|Ayouhli asgaya uksesdi alasgvsgoi.|ᎠᏲᎤᏟ ᎠᏍᎦᏯ ᎤᎦᏎᏍᏗ ᎠᎳᏍᎬᏍᎪᎢ.|A crippled man takes a step carefully.|
|ᎠᏓᎨᎭ|4|Dlv uwenvsdi yadvnvisdi adakesgoi.|Ꮲ ᎤᏪᏅᏍᏗ ᏯᏛᏅᎢᏍᏗ ᎠᏓᎨᏍᎪᎢ.|When he's getting ready to go somewhere, he uses a mirror.|
|ᎤᏲᎱᏒᎢ|4|Gado igada juniyohusv jidanisgaho?|ᎦᏙ ᎢᎦᏓ ᏧᏂᏲᎱᏒ ᏥᏓᏂᏍᎦᎰ?|Why are some people afraid of dead people?|
|ᎥᏍᎩᎾ|4|Gado yigalsda vsgina yinunadvnela?|ᎦᏙ ᏱᎦᎵᏍᏓ ᎥᏍᎩᎾ ᏱᏄᎾᏛᏁᎳ?|What would happen if they did that?|
|ᎤᏤᎵ|4|Gigage ulsuhwida dagwalela ujelii.|ᎩᎦᎨ ᎤᎵᏑᏫᏓ ᏓᏆᎴᎳ ᎤᏤᎵᎢ.|His car is red.|
|ᎦᏃᎭᎵᏙᎭ|4|Gola yigi nigohlilv ganohalidohoi.|ᎪᎳ ᏱᎩ ᏂᎪᎯᎸ ᎦᏃᎭᎵᏙᎰᎢ.|He hunts all the time in the winter.|
|ᎠᏔᏍᎩᎠ|4|Gotv wudina adwelagisgi utasgisvi.|ᎪᏛ ᏭᏗᎾ ᎠᏓᏪᎳᎩᏍᎩ ᎤᏔᏍᎩᏒᎢ.|When he threw the gunpowder into the fire, it exploded.|
|ᎠᏁᏟᏔᏅᎢ|4|Hia gohweli ahnehltanv agwaduliha.|ᎯᎠ ᎪᏪᎵ ᎠᏁᏟᏔᏅ ᎠᏆᏚᎵᎭ.|I want a translation of this book.|
|ᏜᏄᏏ|4|Hila idihnida nanalsdisgo dlanusi?|ᎯᎳ ᎢᏗᏂᏓ ᎾᎾᎵᏍᏗᏍᎪ ᏜᏄᏏ?|How big do leeches get?|
|ᏗᎿᏬᏍᏙᏗ|4|Hila iga dihnawosdohdi dejaduliha?|ᎯᎳ ᎢᎦ ᏗᎿᏬᏍᏙᏗ ᏕᏣᏚᎵᎭ?|How many covers do you want?|
|ᎠᏟᏍᏙᏗ|4|Hisgi goi didlisdohdi dagwaduliha.|ᎯᏍᎩ ᎪᎢ ᏗᏗᎵᏍᏙᏗ ᏓᏆᏚᎵᎭ.|I want five oil containers.|
|ᎪᏘᏍᎦ|4|Inada usgahljv ganvsgeni uwotisvi.|ᎢᎾᏓ ᎤᏍᎦᎵᏨ ᎦᏅᏍᎨᏂ ᎤᏬᏘᏒᎢ.|His leg swelled where a snake bit him.|
|ᎢᏯ|4|Jalvkwdis iya gohlvhtanv gelistgi?|ᏣᎸᏉᏗᏍ ᎢᏯ ᎪᏢᏔᏅ ᎨᎵᏍᏘᎩ?|Do you like pie made of pumpkin?|
|ᎠᏔᏝᏬᎯᏍᏗ|4|Janhtas iyusdi gesv atahlawohisdi?|ᏣᏅᏔᏍ ᎢᏳᏍᏗ ᎨᏒ ᎠᏔᏝᏬᎯᏍᏗ?|Do you know what rage is?|
|ᎠᏂᏲᏍᎩᎢ|4|Joi judetiyvda agiyvhlv aniyosgii.|ᏦᎢ ᏧᏕᏘᏴᏓ ᎠᎩᏴᏢ ᎠᏂᏲᏍᎩᎢ.|I was in the military service for three years.|
|ᏧᎦᎾᏕᎾ|4|Na digalogisgi juganhdena ahwisga.|Ꮎ ᏗᎦᎶᎩᏍᎩ ᏧᎦᎾᏕᎾ ᎠᏫᏍᎦ.|The farmer is planting cabbage.|
|ᎤᎵᏍᏇᏚᎦ|4|Nigolv yijigo nudale ulsgwetuhgoi.|ᏂᎪᎸ ᏱᏥᎪ ᏄᏓᎴ ᎤᎵᏍᏇᏚᎪᎢ.|I see him, he's wearing a different hat.|
|ᎠᎩᎸᏗᎭ|4|Tali digagwati ukilvdohdi ulvkwdi.|ᏔᎵ ᏗᎦᏆᏘ ᎤᎩᎸᏙᏗ ᎤᎸᏉᏗ.|He likes to ride a bicycle.|
|ᎠᎾᎦᎵᎭ|4|Tsgwisdi anagaliha doyi dinehldii.|ᏥᏈᏍᏗ ᎠᎾᎦᎵᎭ ᏙᏱ ᏗᏁᎶᏗᎢ.|It's lightening too much to play outside.|
|ᎠᏍᎪᎸᎦ|4|Uwoduhi ulsuhwisv ahnawo asgolvga.|ᎤᏬᏚᎯ ᎤᎵᏑᏫᏒ ᎠᎿᏬ ᎠᏍᎪᎸᎦ.|The pretty color on the shirt is fading.|
|ᎠᏓᏍᏓᏴᏗᎢ|4|Adasdayhdi ayaa ditelido degvdiyea.|ᎠᏓᏍᏓᏴᏗ ᎠᏯᎠ ᏗᏖᎵᏙ ᏕᎬᏗᏰᎠ.|He's in the kitchen washing dishes.|
|ᎠᏍᎪᎩᎠ|4|Asgogisgv galeyvsdisgo dluhgv doya.|ᎠᏍᎪᎩᏍᎬ ᎦᎴᏴᏍᏗᏍᎪ ᏡᎬ ᏙᏯ.|A beaver makes a tree fall by gnawing it.|
|ᎢᎦᏓ|4|Igada analasgalisgi hla yuniluhjei.|ᎢᎦᏓ ᎠᎾᎳᏍᎦᎵᏍᎩ Ꮭ ᏳᏂᎷᏤᎢ.|Some of the ball players didn't come.|
|ᏧᏣᏲᏍᏗ|4|Jujayosdi uyanv asiladvsga dlogesv.|ᏧᏣᏲᏍᏗ ᎤᏯᏅ ᎠᏏᎳᏛᏍᎦ ᏠᎨᏒ.|He's putting up barbed wire fence around the pasture.|
|ᏅᏓᏕᏆ|4|Nvdadegwa kalv adalenisgo uhyvdlvi.|ᏅᏓᏕᏆ ᎧᎸ ᎠᏓᎴᏂᏍᎪ ᎤᏴᏢᎢ.|It starts getting cold in the month of November.|
|ᎤᏙᎯᏳ|4|Udohiyu osda hnadvga ejagoliyesgvi.|ᎤᏙᎯᏳ ᎣᏍᏓ ᎿᏛᎦ ᎡᏣᎪᎵᏰᏍᎬᎢ.|You did very well on your exam.|
|ᎤᏚᏚ|4|Ududu kanohehlvsgv utvdasdi achuja.|ᎤᏚᏚ ᎧᏃᎮᏢᏍᎬ ᎤᏛᏓᏍᏗ ᎠᏧᏣ.|The boy is listening to his grandfather tell stories.|
|ᎤᎦᎾᏩ|4|Uganawas na atohgiyasgi jigawoniha?|ᎤᎦᎾᏩᏍ Ꮎ ᎠᏙᎩᏯᏍᎩ ᏥᎦᏬᏂᎭ?|Is the candidate who is speaking a Democrat?|
|ᎤᏬᏚᎯ|4|Uwoduhi dagwalela ajinelv dusgwada.|ᎤᏬᏚᎯ ᏓᏆᎴᎳ ᎠᏥᏁᎸ ᏚᏍᏆᏓ.|He was given a pretty car when he graduated.|
|ᏩᎱᎯ|4|Wahuhi wusdehldi agehyuja jiyoligi.|ᏩᎱᎯ ᏭᏍᏕᎵᏗ ᎠᎨᏳᏣ ᏥᏲᎵᎩ.|I know a girl whose last name is Owl.|
|ᏕᎦᏐᎦ|4|Amego dagisohjv aniyosgi jijiyavɂi.|ᎠᎺᏉ ᏓᎩᏐᏨ ᎠᏂᏲᏍᎩ ᏥᏥᏯᎥᎢ.|I crossed the ocean when I was in the military service.|
|ᎧᏂᎨᏂ|4|Ansgvti jikalv ajiyehlalv kanigeni.|ᎠᏂᏍᎬᏘ ᏥᎧᎸ ᎠᏥᏰᏝᎸ ᎧᏂᎨᏂ.|He had surgery on his knee last May.|
|ᎤᏛᏐᏅᎢ|4|Asgaya yutvsohna utvsohnv anosehoi.|ᎠᏍᎦᏯ ᏳᏛᏐᎿ ᎤᏛᏐᏅ ᎠᏃᏎᎰᎢ.|When a man becomes fully grown, they call him an old man.|
|ᎠᏓᏕᎦ|4|Ayouhlia asgaya adadegv jigowhtiha.|ᎠᏲᎤᏟᎠ ᎠᏍᎦᏯ ᎠᏓᏕᎬ ᏥᎪᏮᏘᎭ.|I see a lame man limping.|
|ᎤᎵᏑᏫᏓ|4|Dalonige ulsuhwida dagwalela agiha.|ᏓᎶᏂᎨ ᎤᎵᏑᏫᏓ ᏓᏆᎴᎳ ᎠᎩᎭ.|I have a yellow colored car.|
|ᎤᏃᏕᎾ|4|Dilsdoyhdi gvhdi dasdoye uninodena.|ᏗᎵᏍᏙᏱᏗ ᎬᏗ ᏓᏍᏙᏰ ᎤᏂᏃᏕᎾ.|He's shearing the sheep with shears.|
|ᎠᏓᏕᎦ|4|Eladi wudina sgwahlesdi udadinvsvi.|ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ ᎤᏓᏗᏅᏒᎢ.|When he threw the ball down, it bounced.|
|ᎠᎹ|4|Ganugogv ojinegisgo ama ogaditasdi.|ᎦᏄᎪᎬ ᎣᏥᏁᎩᏍᎪ ᎠᎹ ᎣᎦᏗᏔᏍᏗ.|They and I get our drinking water from a spring.|
|ᏙᎳᏥᎦ|4|Gogi tsgwisdi digowhtvhdi tolatsga.|ᎪᎩ ᏥᏍᏈᏍᏗ ᏗᎪᏮᏛᏗ ᏙᎳᏥᎦ.|In the summer you can see a lot of grasshoppers.|
|ᎠᎵᏍᏛᏂᎭ|4|Gohusdi uwahnil aktol, ulsdvhnilvi.|ᎪᎱᏍᏗ ᎤᏩᏂᎳ ᎠᎦᏙᎵ, ᎤᎵᏍᏛᏂᎸᎢ.|When something hit him in the eye, he shook his head.|
|ᎦᎸᏙᏗ|4|Hadlv digadaha dihnawo digalvdohdi?|ᎭᏢ ᏗᎦᏓᎭ ᏗᎿᏬ ᏗᎦᎸᏙᏗ?|Where is the laundry basket?|
|ᏓᏖᏍᎦ|4|Hila ahliilisv jalenvhe dehitesgvi?|ᎯᎳ ᎠᏟᎢᎵᏒ ᏣᎴᏅᎮ ᏕᎯᏖᏍᎬᎢ?|What time did you start ironing?|
|ᎠᏟᎢᎵᏙᎭ|4|Hila igohid uhliilidole etsdoyesgv?|ᎯᎳ ᎢᎪᎯᏓ ᎤᏟᎢᎵᏙᎴ ᎡᏣᏙᏰᏍᎬ?|How long did it take for you to get a haircut?|
|ᎠᏳᎢᏁᎦ|4|Hila iyudanvhida eligwu hyahuinuga?|ᎯᎳ ᎢᏳᏓᏅᎯᏓ ᎡᎵᏊ ᏯᎱᎢᏄᎦ?|How far can you swim?|
|ᏗᎦᏛᏗ|4|Hila jugvwahldi suhliloda digadvdi?|ᎯᎳ ᏧᎬᏩᎵᏗ ᏑᏟᎶᏓ ᏗᎦᏛᏗ?|How much does a bushel of pears cost?|
|ᎠᏴᎩ|4|Igada aniyosgi anihyvki nunalstana.|ᎢᎦᏓ ᎠᏂᏲᏍᎩ ᎠᏂᏴᎩ ᏄᎾᎵᏍᏔᎾ.|Some soldiers have become prisoners.|
|ᎧᎾᏍᏓᏥ|4|Jalvkwdis kansdaji aganv jaditasdi?|ᏣᎸᏉᏗᏍ ᎧᎾᏍᏓᏥ ᎠᎦᏅ ᏣᏗᏔᏍᏗ?|Do you like to drink sassafrass tea?|
|ᎠᏨᏯ|4|Jitaga anichvya ugitsdeyi anayhgoi.|ᏥᏔᎦ ᎠᏂᏨᏯ ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.|Roosters crow at dawn.|
|ᏥᏍᏚ|4|Josdadahnvhli ulvkwdi jisdu juysdii|ᏦᏍᏓᏓᏅᏟ ᎤᎸᏉᏗ ᏥᏍᏚ ᏧᏲᏍᏗᎢ.|My brother likes to hunt rabbits.|
|ᎤᎿᏍᏕᏜ|4|Kansdaji uhnasdedla aganv aditasga.|ᎧᎾᏍᏓᏥ ᎤᎿᏍᏕᏜ ᎠᎦᏅ ᎠᏗᏔᏍᎦ.|He's drinking tea made from sassafras root.|
|ᎠᎦᏟᏱ|4|Nigohilv agahliyi geso udasdehldii.|ᏂᎪᎯᎸ ᎠᎦᏟᏱ ᎨᏐ ᎤᏓᏍᏕᏟᏗᎢ.|He's always eager to help.|
|ᎤᏍᏘᎬᎢ|4|Nigohilv udanvgalvda geso ustihgvi.|ᏂᎪᎯᎸ ᎤᏓᏅᎦᎸᏓ ᎨᏐ ᎤᏍᏘᎬᎢ.|His hair is always clean.|
|ᎦᎶᎾᏍᏗᎭ|4|nuksesdvna yigi kilo galonasdisgoi.|ᏄᎦᏎᏍᏛᎾ ᏱᎩ ᎩᎶ ᎦᎶᎾᏍᏗᏍᎪᎢ.|Whenever someone is not alert, he tricks him.|
|ᏚᎷᎦ|4|Nvhgi ilasihdi idiganvhida duhlgvi.|ᏅᎩ ᎢᎳᏏᏗ ᎢᏗᎦᏅᎯᏓ ᏚᎷᎬᎢ.|It had horns four feet long.|
|ᎢᏯᏔᏬᏍᏔᏅᎢ|4|Sgohi iyatahwostanv ulosvsdi nvhgi.|ᏍᎪᎯ ᎢᏯᏔᏬᏍᏔᏅ ᎤᎶᏒᏍᏗ ᏅᎩ.|It's ten minutes past four.|
|ᎤᎦᏅᏓᏛᎢ|4|Taline uganhdadv gohwela kanogisdi.|ᏔᎵᏁ ᎤᎦᏅᏓᏛ ᎪᏪᎳ ᎧᏃᎩᏍᏗ.|The song is on the second page.|
|ᏅᏬᏘ|4|Uhyvdla oniyisgv nvwoti agwaduliha.|ᎤᏴᏜ ᎣᏂᎣᏍᎬ ᏅᏬᏘ ᎠᏆᏚᎵᎭ.|I want medicine for a cold.|
|ᏌᎵ|4|Unajetsdi sali junigisdi unilvkwdi.|ᎤᎾᏤᏥᏍᏗ ᏌᎵ ᏧᏂᎩᏍᏗ ᎤᏂᎸᏉᏗ.|Possums like to eat persimmons.|
|ᎠᏓᎨᏗ|4|Utana adakehdi nuwanhdi disehisdii.|ᎤᏔᎾ ᎠᏓᎨᏗ ᏄᏩᏅᏗ ᏗᏎᎯᏍᏗᎢ.|He has a big mirror on the dresser.|
|ᎠᏯᏟᏗ|4|Uwoduhi ahyahldi ugisv udetiyisgvi.|ᎤᏬᏚᎯ ᎠᏯᏟᏗ ᎤᎩᏒ ᎤᏕᏘᏱᏍᎬᎢ.|He received a pretty necklace for his birthday.|
|ᎠᏓᏅᏙ|4|Adanhdo yulehwistana, ayohusgo yvwi.|ᎠᏓᏅᏙ ᏳᎴᏫᏍᏔᎾ, ᎠᏲᎱᏍᎪ ᏴᏫ.|When the heart stops, a person dies.|
|ᎠᎹᏳᏟᏗ|4|Amayuhldi daginawhtvhv hia dilasulo.|ᎠᎹᏳᏟᏗ ᏓᎩᎾᏩᏛᎲ ᎯᎠ ᏗᎳᏑᎶ.|I found these shoes by the shore.|
|ᎠᏘᏟᏗ|4|Atihldi uwohlvhnv anineli uhnawosdi.|ᎠᏘᏟᏗ ᎤᏬᏢᏅ ᎠᏂᏁᎵ ᎤᎿᏬᏍᏗ.|He made a shirt for his husband to wear.|
|ᎠᏲᎤᏟ|4|Ayouhli asgaya adolanvsdi utayohlvi.|ᎠᏲᎤᏟ ᎠᏍᎦᏯ ᎠᏙᎳᏅᏍᏗ ᎤᏔᏲᎸᎢ.|a crippled man asked for a walking cane.|
|ᎦᏓᏆᎳ|4|Gadagwala gohlvhtanv ganvnowa uwaya.|ᎦᏓᏆᎳ ᎪᏢᏔᎾ ᎦᏅᏃᏩ ᎤᏩᏯ.|He has a pipe made of clay.|
|ᎦᏄᎪᎬᎢ|4|Ganugogv dojikugisgo ama ogaditasdi.|ᎦᏄᎪᎬ ᏙᏥᎬᎩᏍᎪ ᎠᎹ ᎣᎦᏗᏔᏍᏗ.|They and I get our drinking water from a spring.|
|ᎦᏄᎸ ᎠᎦᎵᏍᏗ|4|Ganulv agalsdi osda nigvneha.|ᎦᏄᎸ ᎠᎦᎵᏍᏗ ᎣᏍᏓ ᏂᎬᏁᎭ.|He's repairing a lawn mower.|
|ᎠᏅᏓᏗᎠ|4|Hanhdadias nagiwesv gohigiyv jigesv?|ᎭᏅᏓᏗᎠᏍ ᎾᎩᏪᏒ ᎪᎯᎩᏴ ᏥᎨᏒ?|Do you remember what I said long ago?|
|ᏐᏈᎵ ᏗᎦᎴᏅᎯᏓ|4|Sogwili digalenvida gvhdi gadalugia.|ᏐᏈᎵ ᏗᎦᎴᏅᎢᏓ ᎬᏗ ᎦᏓᎷᎩᎠ.|He's plowing with a mule.|
|ᎤᏠᏏᏅᏓ|4|Udlosinvd jig kanugahl uhloyigeisdi.|ᎤᏠᏏᏅᏓ ᏥᎩ ᎧᏄᎦᏟ ᎤᏠᏱᎨᎢᏍᏗ.|Dewberries are similar to blackberries.|
|ᎠᎱᎸᏂᎭ|4|Uhulvnisdi udulisgv, asehnv usgalvi.|ᎤᎱᎸᏂᏍᏗ ᎤᏚᎵᏍᎬ, ᎠᏎᏅ ᎤᏍᎦᎸᎢ.|He wanted to hit him on the mouth, but he got scared.|
|ᎠᏓᏄᏖᏲᎭ|4|Agaluga uwahnila hlgvi udanuteyolvi.|ᎠᎦᎷᎦ ᎤᏩᏂᎳ ᏡᎬᎢ ᎤᏓᏄᏖᏲᎸᎢ.|When the twister hit the tree, it twisted.|
|ᏗᏠᎯᏍᏗᎢ|4|Agwadlohjv uhna gohlvsv didlohisdii.|ᎠᏆᏠᏨ ᎤᎿ ᎪᏢᏒ ᏗᏠᎯᏍᏗᎢ.|I couldn't find the meeting place.|
|ᎠᏲᏍᏗᎭ|4|Ama adlisdohdi ulvsadi uyosdohtanvi.|ᎠᎹ ᎠᏟᏍᏙᏗ ᎤᎸᏌᏗ ᎤᏲᏍᏙᏔᏅᎢ.|He accidently broke a water glass.|
|ᎤᏬᏕᏫᏓ|4|Asiladv duhlvnv juwodehwida dihnawo.|ᎠᏏᎳᏛ ᏚᎸᏅ ᏧᏬᏕᏫᏓ ᏗᎿᏬ.|He hung the damp clothes on the line.|
|ᎬᎫᏍᎦ|4|Gahljode gahljotv gvgusgo yugahnana.|ᎦᎵᏦᏕ ᎦᎵᏦᏛ ᎬᎪᏍᎪ ᏳᎦᎿᎾ.|The roof on the house leaks when it rains.|
|ᎠᏓᏲᏁᏗ|4|Galvkwdi gohweli asgaga adahyonehdi.|ᎦᎸᏉᏗ ᎪᏪᎵ ᎠᏍᎦᎦ ᎠᏓᏲᏁᏗ.|The Bible reproves adultery.|
|ᎪᎰᏅᏗᎭ|4|Gasgilv ahlahv waji uwohonhdohtanvi.|ᎦᏍᎩᎸ ᏝᎲ ᏩᏣ ᎤᏬᎰᏅᏙᏔᏅᎢ|He accidently dropped the clock from the table.|
|ᏗᏓᎿᏫᏓ, ᏧᏓᎿᏫᏓ|4|Igada dajelisdv judahnawida degetoi.|ᎢᎦᏓ ᏓᏤᎵᏍᏛ ᏧᏓᎿᏫᏓ ᏕᎨᏙᎢ.|Some graves have crosses.|
|ᎦᏍᎩᎶ ᎠᎵᏍᏓᏴᏗᎢ|4|Ije gasgilo alsdayhdi uhyoha.|ᎢᏤ ᎦᏍᎩᎶ ᎠᎵᏍᏓᏴᏗ ᎤᏲᎭ.|He's looking for a new dining table.|
|ᏗᏁᎵᏙᏗ|4|Jadulisgvis iyusd dinehldohd jagise?|ᏣᏚᎵᏍᎬᎢᏍ ᎢᏳᏍᏗ ᏗᏁᎵᏙᏗ ᏣᎩᏎ?|Did you get the toy you wanted?|
|ᎠᏓ|4|Jitaga anida jutvhisdohdi adanhteha.|ᏥᏔᎦ ᎠᏂᏓ ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.|He's thinking about raising chicks.|
|ᎠᏲᎢᏍᏗᎭ|4|Junsdi anichuja anahlihv uyoistanvi.|ᏧᎾᏍᏗ ᎠᏂᏧᏣ ᎠᎾᏟᎲ ᎤᏲᎢᏍᏔᏅᎢ.|He broke up a fight between the little boys.|
|ᏡᎬᎢ|4|Juweti dehlgv nigada dejileyvstanvi.|ᏧᏪᏘ ᏕᏢᎬ ᏂᎦᏓ ᏕᏥᎴᏴᏍᏔᏅᎢ.|Cut down all the dead trees.|
|ᎠᎵᏍᏆᏗᎠ|4|Kila agiluhjv ulsgwadv daniwonisgvi.|ᎩᎳ ᎠᎩᎷᏨ ᎤᎵᏍᏆᏛ ᏓᏂᏬᏂᏍᎬᎢ.|I had just arrived when their speeches ended.|
|ᏰᎦᏟ|4|Nigohilv dihyehgahli degayewsgo eji.|ᏂᎪᎯᎸ ᏗᏰᎦᏟ ᏕᎦᏰᏫᏍᎪ ᎡᏥ.|My mother is always sewing quilts.|
|ᎬᏛᎥᏍᎦ|4|Nigohilv digohweli danhdvvsgo gotvi.|ᏂᎪᎯᎸ ᏗᎪᏪᎵ ᏓᏅᏛᎥᏍᎪ ᎪᏛᎢ.|They always put paper into the the fire.|
|ᎤᏁᎭ|4|Nigohilv unvdi aginadinvdi aginehoi.|ᏂᎪᎯᎸ ᎤᏅᏗ ᎠᎩᎾᏗᏅᏗ ᎠᎩᏁᎰᎢ.|I always have milk to sell.|
|ᎨᏘᎶᏍᏗ|4|Nvyohi yidasgosga getilosdi kdisgoi.|ᏅᏲᎯ ᏱᏓᏍᎪᏍᎦ ᎨᏘᎶᏍᏗ ᎬᏗᏍᎪᎢ.|When he digs holes in a rocky place, he uses a crowbar.|
|ᏚᏙᎦᏗᎭ|4|Sdayi unehltanv judokdohdi nigesvna.|ᏍᏓᏱ ᎤᏁᎵᏔᏅ ᏧᏙᎦᏙᏗ ᏂᎨᏒᎾ.|He tried hard not to stagger.|
|ᎠᏗᏗᎭ|4|Sudali iyuwahnilv sunale gadidisgoi.|ᏑᏓᎵ ᎢᏳᏩᏂᎸ ᏑᎾᎴ ᎦᏗᏗᏍᎪᎢ.|I rise at six a. m.|
|ᎠᏟᎩᎠ|4|Tsgwisdi ulsdayvhnv yigi ahligisgoi.|ᏥᏈᏍᏗ ᎤᎵᏍᏓᏴᏅ ᏱᎩ ᎠᏟᎩᏍᎪᎢ.|When he has eaten a lot, he has a nightmare.|
|ᎠᏴᏭᏁᎦ, ᎠᏲᏁᎦ|4|Tstvganvis ayonega Jalagi gawonisgv?|ᏣᏛᎦᏅᎢᏍ ᎠᏲᏁᎦ ᏣᎳᎩ ᎦᏬᏂᏍᎬ?|Have you heard a white person speak Cherokee?|
