ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE
||||||ᎨᎮᎢ; ᎨᎮ|gè:hé:ʔi; gè:hé|“Reportedly was (a while ago).”|||
||||||ᎨᏎᏍᏗ; ᎨᏎᏍd|gè:sé:sdi; gè:sé:sd|“Will be being.”||Complete the lesson material through the end of chapter 20.|

#Chapter 21 ᏔᎵᏍᎪ ᏌᏊᎯᏁᎢ ᎠᏕᎶᏆᏍᏗ|||
||||||ᏆᏆᎠ ᏥᏯᏚᎵᎭ; ᏆᏆ ᏥᏯᏚᎵ|gwa:gwaʔa ji:ya:du:líha; gwa:gwa ji:ya:du:lí|“I want Barbara.”|||

||||||ᏄᎾ ᎠᏆᏚᎵᎭ; Ꮔn ᎠᏆᏚᎵ|nǔ:na à:gwadu:líha; nǔ:n à:gwadu:lí|I want a potato.|||
||||||Ꮎ ᎠᎨᏯ ᎠᏆᏚᎵᎭ; Ꮎ ᎠᎨᏯ ᎠᏆᏚᎵ|na agě:hya à:gwadu:líha; na agě:hya à:gwadu:lí|That woman wants me.|||

||||||ᎩᏟ ᎦᏥᏯᏚᎵᎭ; ᎩᏟ ᎦᏥᏯᏚᎵ|gi:hli ga:ji:ya:du:líha; gi:hli ga:ji:ya:du:lí|“I want dogs.”|||
||||||ᏗᎦᏍᎩᎶ ᏓᏆᏚᎵᎭ; ᏗᎦᏍᎩꮅ ᏓᏆᏚᎵ|diga:sgilo dà:gwadu:líha; diga:sgil dà:gwadu:lí|“I want the tables or chairs.”|||
||||||ᎠᎵᏌᏇᏘ ᎠᎴ ᎡnᏙᏂ ᎬᏆᏚᎵᎭ; ᎠᎵᏌᏇt ᎠᎴ ᎡnᏙn ᎬᏆᏚᎵ|a:lí:sa:gwe:ti ale énto:ni gv̀:gwadu:líha; a:lí:sa:gwe:t ale énto:n gv̀:gwadu:lí|Elizabeth and Anthony want me.|||
||||||ᎹᎦᎵ ᎵᏂᏓ ᎤᏚᎵᎭ; ᎹᎦꮅ ᎵᏂd ᎤᏚᎵ|ma:gá:li lí:nida ù:du:líha; ma:gá:l lí:nid ù:du:lí|Michael wants Linda|||
||||||ᎹᎦᏰᏘ ᏪᏌ ᏚᏚᎵᎭ; ᎹᎦᏰᏘ ᏪᏍ ᏚᏚᎵ|má:gaye:ti wě:sa dù:du:líha; má:gaye:ti wě:s dù:du:lí|Margaret wants cats.|||
||||||ᎯᏯᏚᎵᎭᏍᎪ?; ᎯᏯᏚᎵᎭᏍ?; ᎯᏯᏚᎵᏍᎪ?; ᎯᏯᏚᎵᏍ?|hi:ya:du:líhasgo?; hi:ya:du:líhas?; hi:ya:du:lísgo?; hi:ya:du:lís?|Do you want him?|||

||||||ᎾᏧ ᏌᏛᏗ ᏣᏚᎵᎭ?; ᎾᏧ ᏌᏛd ᏣᏚᎵ?|naju sadv́:di jadu:líha?; naju sadv́:d jadu:lí?|You want that trap, right?|||
||||||ᎺᎵ ᏣᏚᎵᎭ; ᎺᎵ ᏣᏚᎵ|mé:li jadu:líha; mé:li jadu:lí|Mary wants you.|||

||||||ᎠᎭᏫᏍᎪ ᎦᎯᏯᏚᎵᎭ?; ᎠᎭᏫᏍ ᎦᎯᏯᏚᎵ?|ahawisgo ga:hi:ya:du:líha?; ahawis ga:hi:ya:du:lí?|Do you want deer?|||
||||||ᏚᏯᏍᎪ ᏕᏣᏚᎵᎭ; ᏚᏯᏍ ᏕᏣᏚᎵ|tǔ:yasgo de:jadu:líha; tǔ:yas de:jadu:lí|Do you want beans?|||
||||||Ꮎ ᎠᏂᏍᎦᏯ ᎨᏣᏚᎵᎭ.; Ꮎ ᎠᏂᏍᎦᏯ ᎨᏣᏚᎵ.|na ani:sgaya ge:jadu:líha.; na ani:sgaya ge:jadu:lí.|Those men want you.|||
||||||ᎪᎱᏍᏗ ᎤᎾᏚᎵᎭ; ᎪᎱᏍd ᎤᎾᏚᎵ; ᎪᏍᏗ ᎤᎾᏚᎵ|go:hű:sdi ù:na:du:líha; go:hű:sd ù:na:du:lí; gő:sdi ù:na:du:lí|They want something.|||
||||||ᎪᎱᏍᏗ ᏚᎾᏚᎵᎭ; ᎪᎱᏍd ᏚᎾᏚᎵ; ᎪᏍᏗ ᏚᎾᏚᎵ|go:hű:sdi dù:na:du:líha; go:hű:sd dù:na:du:lí; gő:sdi dù:na:du:lí|They want things.|||
# a:sé:hnv|||
||||||ᎠᏎᏃ, ᏥᏍᏚ ᎦᏥᏯᏚᎵᎭ.; ᎠᏎᏃ, ᏥᏍd ᎦᏥᏯᏚᎵ.; ᎠᏎᏅ, ᏥᏍd ᎦᏥᏯᏚᎵ.|a:sé:hno, ji:sdu ga:ji:ya:du:líha.; a:sé:hno, ji:sd ga:ji:ya:du:lí.; a:sé:hnv, ji:sd ga:ji:ya:du:lí.|But, I want rabbits.|||
||||||ᎦᏍᎩᎶ ᏥᎪwᏘᎭ; ᎦᏍᎩᎶ ᏥᎪwᏘ|ga:sgilo jigowhtíha; ga:sgilo jigowhtí|I see a table or a chair.||Complete the lesson material through the end of chapter 21.|

#Chapter 22 ᏔᎵᏍᎪ ᏔᎵᏁᎢ ᎠᏕᎶᏆᏍᏗ|||
||||||Ꭷ, ᎥᏝ ᏄᎾ ᏯᏆᏚᎵᎭ; Ꭷ! Ꮭ ᏄᎾ ᏯᏆᏚᎵ!|ka, vhla nǔ:na yà:gwadu:líha; ka! hla nǔ:na yà:gwadu:lí!|Hey! Enough! I don't want a potato!|||
||||||ᏄᎳ, ᏑᏌᏃ ᏣᏚᎵᎭ; ᏄᎳ, ᏑᏌᏃ ᏣᏚᎵ|nű:la, sú:sano jadu:líha; nű:la, sú:sano jadu:lí|Hurry, Susan wants you.|||
||||||ᎠᏂᏔᎵ ᎢᏯᏂ ᎠᏂᎨᏳᏣ; ᎠᏂᏔꮅ ᎢᏯᏂ ᎠᏂᎨᏳj|a:nitáʔli iyáni ani:ge:hyű:ja; a:nitáʔl iyáni ani:ge:hyű:j|Two count girls.|||
||||||ᏦᎢ ᎢᎦ ᏕꮅᎬᎢ; Ꮶ ᎢᎦ ᏕꮅᎬ|joʔi ǐ:ga̋ dě:hlgv̋:ʔi; jo ǐ:ga̋ dě:hlgv̋|Three count trees.|||
||||||ᏄᎾ ᎦᏍᎩᎸᎢ; ᏄᎾ ᎦᏍᎩᎸ|nǔ:na ga:sgilv̋:ʔi; nǔ:na ga:sgilv̋|A potato is on a chair or on a table.|||

# gadō u:sdi|||
||||||ᎦᏙ ᎤᏍᏗ ᎤꮅᏑᏫᏓ Ꮎ ᎩᏟ?; ᎦᏙ ᎤᏍd ᎤꮅᏑᏫd Ꮎ ᎩᏟ?; Ꮩ ᎤᏍd ᎤꮅᏑᏫd Ꮎ ᎩᏟ?|gadō u:sdi ulsǔ:hwida na gi:hli?; gadō u:sd ulsǔ:hwid na gi:hli?; dō u:sd ulsǔ:hwid na gi:hli?|What color is the dog?|||
||||||ᎦᏙ ᎤᏍᏗ ᎤᎾꮅᏑᏫᏓ Ꮎ ᏥᏍᏚ?; ᎦᏙ ᎤᏍd ᎤᎾꮅᏑᏫd Ꮎ ᏥᏍd?; Ꮩ ᎤᏍd ᎤᎾꮅᏑᏫd Ꮎ ᏥᏍd?|gadō u:sdi u:nalsǔ:hwida na ji:sdu?; gadō u:sd u:nalsǔ:hwid na ji:sd?; dō u:sd u:nalsǔ:hwid na ji:sd?|What color are the rabbits?|||
||||||ᎦᏙ ᎤᏍᏗ ᏧꮅᏑᏫᏓ Ꮎ ᏄᎾ?; ᎦᏙ ᎤᏍd ᏧꮅᏑᏫd Ꮎ Ꮔn?; Ꮩ ᎤᏍd ᏧꮅᏑᏫd Ꮎ Ꮔn?|gadō u:sdi julsǔ:hwida na nǔ:na?; gadō u:sd julsǔ:hwid na nǔ:n?; dō u:sd julsǔ:hwid na nǔ:n?|What color are the potatoes?|||

||||||Ꮎ ᏙᏯ ᎤꮅᏑᏫᏓ ᎤᏬᏗᎨᎢ; Ꮎ ᏙᏯ ᎤꮅᏑᏫd ᎤᏬᏗᎨ|na do:ya ulsǔ:hwida uwǒ:díge̋:ʔi; na do:ya ulsǔ:hwid uwǒ:díge̋|That beaver is colored brown.|||
||||||Ꮎ ᏥᏍᏚ ᎤᎾꮅᏑᏫᏓ ᎤᏂᏁᎦ; Ꮎ ᏥᏍd ᎤᎾꮅᏑᏫd ᎤᏂᏁg|na ji:sdu u:nalsǔ:hwida u:ni:ne̋:ga; na ji:sd u:nalsǔ:hwid u:ni:ne̋:g|Those rabbits are colored white.|||
||||||Ꮎ ᎪᎱᏍᏗ ᏧꮅᏑᏫᏓ ᏗᏓᎭᎵᎨᎢ; Ꮎ ᎪᏍd ᏧꮅᏑᏫd ᏗᏓᎭᎵᎨ|na go:hű:sdi julsǔ:hwida didaha:lige̋:ʔi; na gő:sd julsǔ:hwid didaha:lige̋|Those things are colored purple.|||

*||||||ᎤᏂᏲ ᏪᏌ|u:niyő wě:sa|Bad cats|||
*||||||Ꮎ ᎤᏲ ᎨᏒᎩ|na u:yő gè:sv̌:gi|That was bad!|||
*||||||Ꮎ ᎤᏂᏲ ᎠᏂᏴᏫ ᎨᏒᎩ|na u:niyő ani:yv:wi gè:sv̌:gi|Those were bad people!|||
*||||||ᎭᏢ ᎠᏃᏍᏓ ᏴᏫ|ha:dlv à:nő:sda yv:wi|Where are good people?|||
*||||||ᎠᏃᏍᏓ ᏴᏫ Ꮭ ᎠᏂ ᏱᎩ|à:nő:sda yv:wi hla áhni yi̋:gi|Good people aren't here!|||
*||||||ᎤᎿᎾ?|ù:hnana?|What about there?|||
*||||||ᎠᏂᏴᏫ ᎤᎿ ᏱᎨᏎᏍᏗ; ᎠᏂᏴᏫ ᎤᎿ ᏱᎨᏎᏍd|ani:yv:wi ù:hna yigè:sé:sdi; ani:yv:wi ù:hna yigè:sé:sd|Maybe people will be there!|||
*||||||ᎠᏍᎦᏯ Ꮭ Ꮎ ᏯᎪwᏘ ᎠᏴ ᎠᏂ|asgaya hla na yà:gowhtí ayv áhni|The man doesn't see that we are here!|||
*||||||ᎰᏩ! ᎠᏴ ᎠᏂ!|howa! ayv áhni!|Alright! Here we are!|||
*||||||ᎤᏂᏲ ᎠᏂᏴᏫ ᎠᏂ Ᏹg|u:niyő ani:yv:wi áhni yi̋:g|Bad people might be here!|||
*||||||ᎭᏢ ᏴᏫ?|ha:dlv yv:wi?|Where are people?|||
*||||||Ꮭ ᎠᏂ Ᏹg|hla áhni yi̋:g|Not here!|||
*||||||ᎯᎠ ᎤᏲ|hiʔa u:yő|This is bad!|||
*||||||Ꮭ ᎾᏍᎩ ᏱᏥᎪwᏘ; Ꮭ ᎥᏍᎩ ᏱᏥᎪwᏘ; Ꮭ ᏍᎩᎾ ᏱᏥᎪwᏘ; Ꮭ ᎥᏍᎩᎾ ᏱᏥᎪwᏘ|hla nà:sgi yiji:gowhtí; hla v̀:sgi yiji:gowhtí; hla sgina yiji:gowhtí; hla v̀:sgina yiji:gowhtí|I don't see that!|||
*||||||Ꮭ ᎣᏍd Ᏹg|hla ő:sd yi̋:g|Not good!|||
*||||||ᏂᎯᏧ ᎤᎿ|nihiju ù:hna|You're there, right?|||
*||||||Ꮭ ᏱᏥᎪwᏘᎭ|hla yiji:gowhtíha|I don't see him!|||
*||||||ᎭᏢ ᏂᎯ?|ha:dlv nihi?|Where are you?|||
*||||||ᎤᎿ ᎤᏲ ᎨᏒg|ù:hna u:yő gè:sv̌:g|It was bad there!|||
*||||||ᎠᎩᏲ ᎠᏆᏚᎵ|agiyő à:gwadu:lí|I want to be bad.|||
*||||||ᎠᎩᏲ ᎠᏆᏚᎵᎭ. ᏣᏲᏍ ᏣᏚᎵ?|agiyő à:gwadu:líha. jayős jadu:lí?|I want to be bad. Are you wanting to be bad?|||
*||||||ᎠᏣᎳg ᏪᏍ ᎨᏎ.|ajalag wě:s gè:sé.|There was a Cherokee cat!|||
*||||||ᎠᎩᎵᏍ ᏪᏍ ᎨᏎ|agili:s wě:s gè:sé|There was a English cat!|||
*||||||ᎣᏍd ᏪᏍ ᎨᏎ. ᎤᏲ ᏪᏍ ᎨᏎ.|ő:sd wě:s gè:sé. u:yő wě:s gè:sé.|There was a good cat! There was a bad cat!|||
*||||||ᎤᏂᏲ ᎠᏂᏴᏫ ᎠᏂ|u:niyő ani:yv:wi áhni|Bad people are here!|||
*||||||ᏄᎳ. ᏄᎳ.|nű:la. nű:la.|Hurry! Hurry!|||
*||||||Ꮎ Ꮕg ᎩᏟ ᎦᎯᏯᏚᎵ|na nvhg gi:hli ga:hi:ya:du:lí|You are wanting those four dogs.|||
*||||||ᏱᎩ|yi̋:gi|Maybe.|||
*||||||ᎦᏙ ᎤᏍᏗ ᎯᎠ?|gadō u:sdi hiʔa?|What's this!?!?|||
*||||||Ꮎ ᏪᏍ ᎠᏃᏍd.|na wě:s à:nő:sd.|Those cats are good!|||
*||||||ᎾᏍᎩ ᎦᏥᏯᏚᎵ; ᎥᏍᎩ ᎦᏥᏯᏚᎵ; ᏍᎩᎾ ᎦᏥᏯᏚᎵ; ᎥᏍᎩᎾ ᎦᏥᏯᏚᎵ|nà:sgi ga:ji:ya:du:lí; v̀:sgi ga:ji:ya:du:lí; sgina ga:ji:ya:du:lí; v̀:sgina ga:ji:ya:du:lí|I want them!||Complete the lesson material through the end of chapter 22.|
